time_s,hz,midi,note,delta_st,kind
0.882358,79.1413,39.3000,D#2,0.0000,start
3.552653,99.1376,43.2000,G2,3.9000,change
5.038730,108.7365,44.8000,A2,1.6000,change
6.594467,74.2692,38.2000,D2,-6.6000,change
8.661043,110.6372,45.1000,A2,6.9000,change
10.634739,99.1376,43.2000,G2,-1.9000,change
10.936599,124.1861,47.1000,B2,3.9000,change
12.074376,98.5666,43.1000,G2,-4.0000,change
12.213696,78.6855,39.2000,D#2,-3.9000,change
13.096054,165.7685,52.1000,E3,12.9000,change
13.421134,195.9977,55.0000,G3,2.9000,change
14.512472,98.5666,43.1000,G2,-11.9000,change
14.837551,111.9228,45.3000,A2,2.2000,change
14.976871,98.5666,43.1000,G2,-2.2000,change
16.253968,83.3644,40.2000,E2,-2.9000,change
16.486168,98.5666,43.1000,G2,2.9000,change
17.020227,65.4064,36.0000,C2,-7.1000,change
17.159546,82.8843,40.1000,E2,4.1000,change
17.322086,98.5666,43.1000,G2,3.0000,change
17.902585,108.7365,44.8000,A2,1.7000,change
18.065125,99.1376,43.2000,G2,-1.6000,change
18.204444,108.7365,44.8000,A2,1.6000,change
19.411882,118.5780,46.3000,A#2,1.5000,change
19.667302,108.7365,44.8000,A2,-1.5000,change
19.806621,97.9989,43.0000,G2,-1.8000,change
20.480000,110.0000,45.0000,A2,2.0000,change
20.619320,97.9989,43.0000,G2,-2.0000,change
20.758639,112.5711,45.4000,A2,2.4000,change
21.292698,98.5666,43.1000,G2,-2.3000,change
21.432018,117.2161,46.1000,A#2,3.0000,change
22.662676,218.7329,56.9000,A3,10.8000,change
22.848435,286.9575,61.6000,D4,4.7000,change
23.312834,257.1310,59.7000,C4,-1.9000,change
23.452154,145.9867,49.9000,D3,-9.8000,change
24.241633,97.9989,43.0000,G2,-6.9000,change
24.380952,79.1413,39.3000,D#2,-3.7000,change
25.495510,275.5862,60.9000,C#4,21.6000,change
26.006349,137.7931,48.9000,C#3,-12.0000,change
26.145669,110.6372,45.1000,A2,-3.8000,change
26.284989,99.7118,43.3000,G2,-1.8000,change
26.424308,163.8645,51.9000,E3,8.6000,change
26.586848,111.2781,45.2000,A2,-6.7000,change
27.028027,97.4344,42.9000,G2,-2.3000,change
27.724626,124.9055,47.2000,B2,4.3000,change
28.003265,136.9995,48.8000,C#3,1.6000,change
28.189025,218.7329,56.9000,A3,8.1000,change
28.398005,246.9417,59.0000,B3,2.1000,change
28.537324,291.9734,61.9000,D4,2.9000,change
28.676644,329.6276,64.0000,E4,2.1000,change
28.885624,149.3990,50.3000,D3,-13.7000,change
29.071383,163.8645,51.9000,E3,1.6000,change
29.628662,74.6995,38.3000,D2,-13.6000,change
30.859320,124.9055,47.2000,B2,8.9000,change
30.998639,285.3047,61.5000,D4,14.3000,change
31.230839,327.7290,63.9000,E4,2.4000,change
31.416599,298.7979,62.3000,D4,-1.6000,change
31.579138,125.6291,47.3000,B2,-15.0000,change
31.857778,182.8723,53.8000,F#3,6.5000,change
32.740136,110.6372,45.1000,A2,-8.7000,change
33.970794,327.7290,63.9000,E4,18.8000,change
34.133333,361.5437,65.6000,F#4,1.7000,change
34.342313,183.9317,53.9000,F#3,-11.7000,change
34.690612,156.4647,51.1000,D#3,-2.8000,change
34.829932,82.8843,40.1000,E2,-11.0000,change
35.038912,248.3722,59.1000,B3,19.0000,change
35.480091,80.0609,39.5000,E2,-19.6000,change
37.105488,122.7597,46.9000,B2,7.4000,change
37.244807,137.7931,48.9000,C#3,2.0000,change
38.521905,97.9989,43.0000,G2,-5.9000,change
38.916644,82.4069,40.0000,E2,-3.0000,change
39.590023,166.7288,52.2000,E3,12.2000,change
39.799002,182.8723,53.8000,F#3,1.6000,change
39.961542,93.0344,42.1000,F#2,-11.7000,change
40.751020,74.6995,38.3000,D2,-3.8000,change
40.936780,92.4986,42.0000,F#2,3.7000,change
41.099320,122.0526,46.8000,B2,4.8000,change
42.051338,372.1378,66.1000,F#4,19.3000,change
42.794376,106.8685,44.5000,G#2,-21.6000,change
43.258776,116.5409,46.0000,A#2,1.5000,change
44.094694,130.8128,48.0000,C3,2.0000,change
44.234014,432.4411,68.7000,A4,20.7000,change
44.442993,391.9954,67.0000,G4,-1.7000,change
44.605533,351.2513,65.1000,F4,-1.9000,change
45.534331,197.1331,55.1000,G3,-10.0000,change
45.859410,130.0594,47.9000,C3,-7.2000,change
46.161270,141.8307,49.4000,C#3,1.5000,change
46.532789,97.9989,43.0000,G2,-6.4000,change
46.904308,401.1579,67.4000,G4,24.4000,change
47.856327,335.3893,64.3000,E4,-3.1000,change
48.134966,372.1378,66.1000,F#4,1.8000,change
48.460045,99.7118,43.3000,G2,-22.8000,change
48.669025,86.3043,40.8000,F2,-2.5000,change
49.412063,314.7421,63.2000,D#4,22.4000,change
49.551383,361.5437,65.6000,F#4,2.4000,change
50.526621,394.2662,67.1000,G4,1.5000,change
50.782041,429.9504,68.6000,A4,1.5000,change
51.083900,89.3478,41.4000,F2,-27.2000,change
51.803719,75.1322,38.4000,D2,-3.0000,change
52.128798,92.4986,42.0000,F#2,3.6000,change
52.918277,322.0989,63.6000,E4,21.6000,change
53.057596,367.8634,65.9000,F#4,2.3000,change
53.429116,440.0000,69.0000,A4,3.1000,change
53.591655,479.8234,70.5000,A#4,1.5000,change
53.893515,134.6459,48.5000,C3,-22.0000,change
54.172154,157.3711,51.2000,D#3,2.7000,change
54.311474,184.9972,54.0000,F#3,2.8000,change
54.729433,122.7597,46.9000,B2,-7.1000,change
54.868753,111.2781,45.2000,A2,-1.7000,change
55.356372,167.6947,52.3000,E3,7.1000,change
55.495692,197.1331,55.1000,G3,2.8000,change
55.774331,341.2518,64.6000,F4,9.5000,change
56.470930,307.5534,62.8000,D#4,-1.8000,change
56.679909,168.6661,52.4000,E3,-10.4000,change
57.051429,83.3644,40.2000,E2,-12.2000,change
57.957007,169.6432,52.5000,E3,12.3000,change
58.096327,255.6500,59.6000,C4,7.1000,change
58.235646,355.3326,65.3000,F4,5.7000,change
58.444626,387.4930,66.8000,G4,1.5000,change
58.583946,331.5371,64.1000,E4,-2.7000,change
58.723265,367.8634,65.9000,F#4,1.8000,change
58.885805,331.5371,64.1000,E4,-1.8000,change
59.025125,297.0770,62.2000,D4,-1.9000,change
59.187664,98.5666,43.1000,G2,-19.1000,change
59.744943,136.9995,48.8000,C#3,5.7000,change
60.209342,125.6291,47.3000,B2,-1.5000,change
60.371882,113.8791,45.6000,A#2,-1.7000,change
60.882721,124.1861,47.1000,B2,1.5000,change
61.022041,137.7931,48.9000,C#3,1.8000,change
61.323900,323.9648,63.7000,E4,14.8000,change
61.463220,365.7447,65.8000,F#4,2.1000,change
61.857959,278.7883,61.1000,C#4,-4.7000,change
62.345578,305.7820,62.7000,D#4,1.6000,change
63.344036,73.4162,38.0000,D2,-24.7000,change
66.200091,66.1664,36.2000,C2,-1.8000,change
67.268209,218.7329,56.9000,A3,20.7000,change
67.477188,290.2917,61.8000,D4,4.9000,change
67.871927,85.8072,40.7000,F2,-21.1000,change
68.127347,74.6995,38.3000,D2,-2.4000,change
68.498866,96.3153,42.7000,G2,4.4000,change
69.915283,84.8216,40.5000,E2,-2.2000,change
70.240363,95.2090,42.5000,F#2,2.0000,change
71.563900,80.5247,39.6000,E2,-2.9000,change
71.842540,94.6607,42.4000,F#2,2.8000,change
71.981859,108.1103,44.7000,A2,2.3000,change
72.353379,97.9989,43.0000,G2,-1.7000,change
72.655238,120.6507,46.6000,B2,3.6000,change
72.794558,110.6372,45.1000,A2,-1.5000,change
72.933878,121.3497,46.7000,B2,1.6000,change
73.073197,97.9989,43.0000,G2,-3.7000,change
73.398277,76.0052,38.6000,D#2,-4.4000,change
74.419955,94.1155,42.3000,F#2,3.7000,change
74.559274,126.3568,47.4000,B2,5.1000,change
74.768254,106.8685,44.5000,G#2,-2.9000,change
75.116553,118.5780,46.3000,A#2,1.8000,change
75.255873,184.9972,54.0000,F#3,7.7000,change
75.534512,76.4455,38.7000,D#2,-15.3000,change
75.813152,65.4064,36.0000,C2,-2.7000,change
75.952472,76.4455,38.7000,D#2,2.7000,change
76.231111,65.4064,36.0000,C2,-2.7000,change
76.532971,194.8689,54.9000,G3,18.9000,change
77.206349,110.6372,45.1000,A2,-9.8000,change
77.345669,91.9659,41.9000,F#2,-3.2000,change
77.508209,108.7365,44.8000,A2,2.9000,change
77.647528,121.3497,46.7000,B2,1.9000,change
77.972608,167.6947,52.3000,E3,5.6000,change
78.111927,184.9972,54.0000,F#3,1.7000,change
78.297687,82.8843,40.1000,E2,-13.9000,change
78.599546,93.0344,42.1000,F#2,2.0000,change
78.762086,74.2692,38.2000,D2,-3.9000,change
78.901406,91.4362,41.8000,F#2,3.6000,change
79.040726,76.4455,38.7000,D#2,-3.1000,change
81.385941,84.8216,40.5000,E2,1.8000,change
81.525261,93.5734,42.2000,F#2,1.7000,change
81.664580,82.4069,40.0000,E2,-2.2000,change
82.430839,91.9659,41.9000,F#2,1.9000,change
85.774512,73.8415,38.1000,D2,-3.8000,change
86.122812,65.4064,36.0000,C2,-2.1000,change
86.262132,73.8415,38.1000,D2,2.1000,change
86.680091,65.4064,36.0000,C2,-2.1000,change
86.819410,73.4162,38.0000,D2,2.0000,change
86.958730,65.7853,36.1000,C2,-1.9000,change
88.050068,72.5729,37.8000,D2,1.7000,change
88.723447,66.5497,36.3000,C2,-1.5000,change
88.955646,73.4162,38.0000,D2,1.7000,change
89.768345,96.8732,42.8000,G2,4.8000,change
90.093424,73.8415,38.1000,D2,-4.7000,change
91.254422,80.5247,39.6000,E2,1.5000,change
92.461859,87.8128,41.1000,F2,1.5000,change
92.601179,97.4344,42.9000,G2,1.8000,change
93.297778,116.5409,46.0000,A#2,3.1000,change
93.437098,154.6675,50.9000,D#3,4.9000,change
93.715737,78.2323,39.1000,D#2,-11.8000,change
93.994376,94.1155,42.3000,F#2,3.2000,change
94.992834,85.8072,40.7000,F2,-1.6000,change
95.132154,97.9989,43.0000,G2,2.3000,change
95.550113,111.2781,45.2000,A2,2.2000,change
95.735873,95.7606,42.6000,G2,-2.6000,change
96.548571,73.8415,38.1000,D2,-4.5000,change
96.687891,92.4986,42.0000,F#2,3.9000,change
96.827211,70.1008,37.2000,C#2,-4.8000,change
97.059410,81.4604,39.8000,E2,2.6000,change
97.198730,92.4986,42.0000,F#2,2.2000,change
98.847347,188.2309,54.3000,F#3,12.3000,change
99.520726,92.4986,42.0000,F#2,-12.3000,change
99.683265,82.8843,40.1000,E2,-1.9000,change
99.822585,93.5734,42.2000,F#2,2.1000,change
99.961905,113.8791,45.6000,A#2,3.4000,change
100.101224,130.0594,47.9000,C3,2.3000,change
100.240544,187.1468,54.2000,F#3,6.3000,change
100.588844,88.3215,41.2000,F2,-13.0000,change
100.728163,78.6855,39.2000,D#2,-2.0000,change
100.937143,66.1664,36.2000,C2,-3.0000,change
101.076463,73.8415,38.1000,D2,1.9000,change
101.285442,80.5247,39.6000,E2,1.5000,change
104.187937,69.2957,37.0000,C#2,-2.6000,change
105.070295,92.4986,42.0000,F#2,5.0000,change
105.209615,80.5247,39.6000,E2,-2.4000,change
105.348934,91.9659,41.9000,F#2,2.3000,change
105.488254,112.5711,45.4000,A2,3.5000,change
105.627574,138.5913,49.0000,C#3,3.6000,change
105.813333,106.2530,44.4000,G#2,-4.6000,change
106.068753,115.8697,45.9000,A#2,1.5000,change
106.393832,73.4162,38.0000,D2,-7.9000,change
106.533152,93.5734,42.2000,F#2,4.2000,change
106.927891,73.8415,38.1000,D2,-4.1000,change
107.647710,66.5497,36.3000,C2,-1.8000,change
107.787029,72.9933,37.9000,D2,1.6000,change
108.367528,66.1664,36.2000,C2,-1.7000,change
108.506848,74.2692,38.2000,D2,2.0000,change
109.296327,96.8732,42.8000,G2,4.6000,change
109.435646,73.4162,38.0000,D2,-4.8000,change
111.107483,80.9912,39.7000,E2,1.7000,change
111.409342,94.1155,42.3000,F#2,2.6000,change
111.571882,82.4069,40.0000,E2,-2.3000,change
111.989841,97.4344,42.9000,G2,2.9000,change
112.291701,87.3071,41.0000,F2,-1.9000,change
112.477460,95.7606,42.6000,G2,1.6000,change
113.522358,78.2323,39.1000,D#2,-3.5000,change
113.847438,97.4344,42.9000,G2,3.8000,change
114.009977,108.1103,44.7000,A2,1.8000,change
114.149297,93.0344,42.1000,F#2,-2.6000,change
114.799456,105.6410,44.3000,G#2,2.2000,change
115.287075,73.4162,38.0000,D2,-6.3000,change
115.426395,65.4064,36.0000,C2,-2.0000,change
118.050249,101.4548,43.6000,G#2,7.6000,change
118.189569,110.6372,45.1000,A2,1.5000,change
118.630748,130.8128,48.0000,C3,2.9000,change
119.048707,104.4276,44.1000,G#2,-3.9000,change
119.188027,85.8072,40.7000,F2,-3.4000,change
119.327347,130.0594,47.9000,C3,7.2000,change
119.466667,105.6410,44.3000,G#2,-3.6000,change
120.000726,87.8128,41.1000,F2,-3.2000,change
120.511565,97.4344,42.9000,G2,1.8000,change
121.881542,87.3071,41.0000,F2,-1.9000,change
122.136961,103.8262,44.0000,G#2,3.0000,change
122.903220,87.3071,41.0000,F2,-3.0000,change
123.042540,72.9933,37.9000,D2,-3.1000,change
123.251519,65.4064,36.0000,C2,-1.9000,change
123.669478,77.7817,39.0000,D#2,3.0000,change
126.037914,88.8332,41.3000,F2,2.3000,change
126.177234,80.5247,39.6000,E2,-1.7000,change
126.409433,115.2024,45.8000,A#2,6.2000,change
127.361451,94.6607,42.4000,F#2,-3.4000,change
127.500771,82.8843,40.1000,E2,-2.3000,change
127.802630,94.1155,42.3000,F#2,2.2000,change
128.893968,68.1052,36.7000,C#2,-5.6000,change
131.239184,74.6995,38.3000,D2,1.6000,change
131.982222,66.1664,36.2000,C2,-2.1000,change
132.237642,72.5729,37.8000,D2,1.6000,change
133.096780,162.9207,51.8000,E3,14.0000,change
133.236100,179.7307,53.5000,F#3,1.7000,change
133.421859,110.0000,45.0000,A2,-8.5000,change
133.561179,122.0526,46.8000,B2,1.8000,change
133.746939,99.1376,43.2000,G2,-3.6000,change
133.886259,109.3664,44.9000,A2,1.7000,change
134.048798,93.0344,42.1000,F#2,-2.8000,change
134.327438,130.8128,48.0000,C3,5.9000,change
134.536417,110.6372,45.1000,A2,-2.9000,change
134.745397,93.0344,42.1000,F#2,-3.0000,change
134.907937,83.8473,40.3000,E2,-1.8000,change
135.488435,97.9989,43.0000,G2,2.7000,change
136.904853,87.8128,41.1000,F2,-1.9000,change
137.206712,99.1376,43.2000,G2,2.1000,change
137.624671,111.9228,45.3000,A2,2.1000,change
137.972971,99.1376,43.2000,G2,-2.1000,change
138.646349,82.8843,40.1000,E2,-3.1000,change
138.785669,97.9989,43.0000,G2,2.9000,change
138.994649,107.4876,44.6000,A2,1.6000,change
139.296508,94.1155,42.3000,F#2,-2.3000,change
139.435828,110.0000,45.0000,A2,2.7000,change
139.668027,120.6507,46.6000,B2,1.6000,change
139.969887,73.4162,38.0000,D2,-8.6000,change
140.294966,65.4064,36.0000,C2,-2.0000,change
140.434286,74.2692,38.2000,D2,2.2000,change
141.734603,90.3859,41.6000,F#2,3.4000,change
141.873923,119.2650,46.4000,A#2,4.8000,change
142.477642,94.1155,42.3000,F#2,-4.1000,change
142.616961,73.4162,38.0000,D2,-4.3000,change
143.174240,66.9352,36.4000,C2,-1.6000,change
143.429660,72.9933,37.9000,D2,1.5000,change
143.568980,65.4064,36.0000,C2,-1.9000,change
143.801179,109.3664,44.9000,A2,8.9000,change
144.219138,97.9989,43.0000,G2,-1.9000,change
144.544218,110.6372,45.1000,A2,2.1000,change
144.683537,123.4708,47.0000,B2,1.9000,change
145.217596,98.5666,43.1000,G2,-3.9000,change
145.356916,81.9323,39.9000,E2,-3.2000,change
145.589116,92.4986,42.0000,F#2,2.1000,change
145.728435,78.2323,39.1000,D#2,-2.9000,change
145.960635,88.3215,41.2000,F2,2.1000,change
146.099955,79.5998,39.4000,D#2,-1.8000,change
148.445170,65.7853,36.1000,C2,-3.3000,change
148.677370,99.1376,43.2000,G2,7.1000,change
148.816689,112.5711,45.4000,A2,2.2000,change
149.281088,99.7118,43.3000,G2,-2.1000,change
149.768707,111.9228,45.3000,A2,2.0000,change
150.117007,99.1376,43.2000,G2,-2.1000,change
150.860045,88.8332,41.3000,F2,-1.9000,change
150.999365,97.9989,43.0000,G2,1.7000,change
151.974603,88.8332,41.3000,F2,-1.7000,change
152.949841,68.1052,36.7000,C#2,-4.6000,change
156.456054,76.4455,38.7000,D#2,2.0000,change
156.734694,95.7606,42.6000,G2,3.9000,change
156.897234,74.6995,38.3000,D2,-4.3000,change
158.290431,162.9207,51.8000,E3,13.5000,change
158.429751,123.4708,47.0000,B2,-4.8000,change
159.196009,86.8042,40.9000,F2,-6.1000,change
159.335329,78.2323,39.1000,D#2,-1.8000,change
159.521088,97.9989,43.0000,G2,3.9000,change
159.799728,84.3331,40.4000,E2,-2.6000,change
159.939048,99.1376,43.2000,G2,2.8000,change
160.078367,109.3664,44.9000,A2,1.7000,change
160.635646,78.2323,39.1000,D#2,-5.8000,change
160.937506,96.3153,42.7000,G2,3.6000,change
161.123265,108.1103,44.7000,A2,2.0000,change
161.262585,121.3497,46.7000,B2,2.0000,change
161.401905,93.0344,42.1000,F#2,-4.6000,change
162.028844,74.2692,38.2000,D2,-3.9000,change
162.330703,95.7606,42.6000,G2,4.4000,change
162.516463,109.3664,44.9000,A2,2.3000,change
162.679002,88.8332,41.3000,F2,-3.6000,change
163.770340,72.9933,37.9000,D2,-3.4000,change
164.072200,89.3478,41.4000,F2,3.5000,change
164.443719,98.5666,43.1000,G2,1.7000,change
164.768798,87.8128,41.1000,F2,-2.0000,change
165.070658,97.4344,42.9000,G2,1.8000,change
167.601633,78.2323,39.1000,D#2,-3.8000,change
167.926712,92.4986,42.0000,F#2,2.9000,change
168.158912,74.6995,38.3000,D2,-3.7000,change
168.344671,84.8216,40.5000,E2,2.2000,change
168.692971,77.7817,39.0000,D#2,-1.5000,change
170.713107,97.9989,43.0000,G2,4.0000,change
170.898866,69.6971,37.1000,C#2,-5.9000,change
173.197642,96.3153,42.7000,G2,5.6000,change
173.522721,66.1664,36.2000,C2,-6.5000,change
173.847800,95.2090,42.5000,F#2,6.3000,change
174.010340,87.3071,41.0000,F2,-1.5000,change
174.567619,110.0000,45.0000,A2,4.0000,change
174.776599,88.3215,41.2000,F2,-3.8000,change
175.287438,66.1664,36.2000,C2,-5.0000,change
176.471655,73.8415,38.1000,D2,1.9000,change
176.634195,66.1664,36.2000,C2,-1.9000,change
176.843175,72.9933,37.9000,D2,1.7000,change
177.725533,65.4064,36.0000,C2,-1.9000,change
177.911293,71.7394,37.6000,D2,1.6000,change
178.213152,65.7853,36.1000,C2,-1.5000,change
178.793651,72.9933,37.9000,D2,1.8000,change
179.072290,66.9352,36.4000,C2,-1.5000,change
179.211610,79.5998,39.4000,D#2,3.0000,change
179.374150,66.1664,36.2000,C2,-3.2000,change
179.513469,81.4604,39.8000,E2,3.6000,change
180.140408,98.5666,43.1000,G2,3.3000,change
180.744127,239.9117,58.5000,A#3,15.4000,change
180.883447,331.5371,64.1000,E4,5.6000,change
181.022766,389.7377,66.9000,G4,2.8000,change
181.301406,341.2518,64.6000,F4,-2.3000,change
181.789025,300.5289,62.4000,D4,-2.2000,change
181.974785,99.1376,43.2000,G2,-19.2000,change
182.462404,138.5913,49.0000,C#3,5.8000,change
183.785941,109.3664,44.9000,A2,-4.1000,change
183.925261,124.1861,47.1000,B2,2.2000,change
184.064580,136.9995,48.8000,C#3,1.7000,change
184.203900,278.7883,61.1000,C#4,12.3000,change
184.366440,245.5194,58.9000,B3,-2.2000,change
184.505760,329.6276,64.0000,E4,5.1000,change
184.645079,372.1378,66.1000,F#4,2.1000,change
185.016599,320.2437,63.5000,E4,-2.6000,change
185.155918,283.6615,61.4000,C#4,-2.1000,change
185.620317,69.6971,37.1000,C#2,-24.3000,change
186.641995,288.6198,61.7000,D4,24.6000,change
186.781315,322.0989,63.6000,E4,1.9000,change
188.197732,295.3660,62.1000,D4,-1.5000,change
190.566168,222.5563,57.2000,A3,-4.9000,change
192.470204,73.8415,38.1000,D2,-19.1000,change
193.445442,66.1664,36.2000,C2,-1.9000,change
193.584762,73.8415,38.1000,D2,1.9000,change
193.724082,66.1664,36.2000,C2,-1.9000,change
193.863401,73.4162,38.0000,D2,1.8000,change
201.549206,65.4064,36.0000,C2,-2.0000,change
203.197823,71.3262,37.5000,D2,1.5000,change
